n,grouped,project_name,project_name_en,road_length_km,start_year,end_year,funding_abbreviation,status_en,status,project_name_long,company,id, GEL ,note,metadata
1,E70 გრიგოლეთი-ქობულეთის შემოვლითი გზა,E70 გრიგოლეთი-ქობულეთის შემოვლითი გზის მშენებლობა კმ 00 - კმ 14,Construction of Grigoleti-Kobuleti Bypass Road Section km 0+000 to km 14+000 of E70 Highway,14,2019,2023,EIB,ongoing,მიმდინარე,E70 ავტომაგისტრალის გრიგოლეთი - ქობულეთის გზის მონაკვეთის მშენებლობა კმ 0+000 – კმ 14+000 (ლოტი I),Polatyol MAPA Joint Venture,GTC/CW/ICB-01,"193,841,574.65",,Origin of investment loans and origin of implementing companies in Georgia’s road construction from 2018 to 2024 (as of April 2023).
2,E70 გრიგოლეთი-ქობულეთის შემოვლითი გზა,E70 გრიგოლეთი-ქობულეთის შემოვლითი გზის მშენებლობა კმ 00 - კმ 14,Construction of Grigoleti-Kobuleti Bypass Road Section km 0+000 to km 14+000 of E70 Highway,14,2019,2023,GOG,ongoing,მიმდინარე,E70 ავტომაგისტრალის გრიგოლეთი - ქობულეთის გზის მონაკვეთის მშენებლობა კმ 0+000 – კმ 14+000 (ლოტი I),Polatyol MAPA Joint Venture,GTC/CW/ICB-01,"34,880,047.36",,Source of data: Roads Department of Georgia. 
3,E60 ავტომაგისტრალის ზემო ოსიაური-ჩუმათელეთი,E60 ავტომაგისტრალის ზემო ოსიაური-ჩუმათელეთი კმ7 - კმ14 მონაკვეთის მშენებლობა ლოტი 2,Construction works for the E-60 Highway Section from Zemo Osiauri to Chumateleti Lot2 (Km 7+700-Km14+060),6.36,2021,2023,WB,ongoing,მიმდინარე, E-60 ავტომაგისტრალის ზემო-ოსიაური - ჩუმათელეთის კმ7+700 - კმ14+060 მონაკვეთის (ლოტი 2) სამშენებლო სამუშაოები,Sinohydro Corporation Limited,EWHCIP/CW/RFB-01 ,"264,992,488.17",,
4,ძირულა - ხარაგაული - მოლითი - ფონა - ჩუმათელეთის (50კმ) გზა,"შიდასახელმწიფოებრივი მნიშვნელობის ძირულა - ხარაგაული - მოლითი - ფონა - ჩუმათელეთის (50კმ) გზის, ძირულა - მოლითის მონაკვეთის კმ0 - კმ24 (ლოტი I) სარეაბილიტაციო სამუშაოები","Rehabilitation of Dzirula – Kharagauli – Moliti – Pona – Chumateleti Secondary Road (50 km), Dzirula – Moliti Road Section from km 0+000 to km 24+620 (lot I)",25,2018,2023,ADB,ongoing,მიმდინარე,"შიდასახელმწიფოებრივი მნიშვნელობის ძირულა-ხარაგაული-მოლთი-ფონა-ჩუმათელეთის (50კმ) გზის, ძირულა-მოლითის მონაკვეთის (კმ 0+000 - კმ 24+620) რეაბილიტაცია",Company Black Sea Group LLC,SRIP/CW/ICB-01,"43,618,859.89",,
5,ძირულა - ხარაგაული - მოლითი - ფონა - ჩუმათელეთის (50კმ) გზა,"შიდასახელმწიფოებრივი მნიშვნელობის ძირულა - ხარაგაული - მოლითი - ფონა - ჩუმათელეთის (50კმ) გზის, ძირულა - მოლითის მონაკვეთის კმ0 - კმ24 (ლოტი I) სარეაბილიტაციო სამუშაოები","Rehabilitation of Dzirula – Kharagauli – Moliti – Pona – Chumateleti Secondary Road (50 km), Dzirula – Moliti Road Section from km 0+000 to km 24+620 (lot I)",25,2018,2023,GOG,ongoing,მიმდინარე,"შიდასახელმწიფოებრივი მნიშვნელობის ძირულა-ხარაგაული-მოლთი-ფონა-ჩუმათელეთის (50კმ) გზის, ძირულა-მოლითის მონაკვეთის (კმ 0+000 - კმ 24+620) რეაბილიტაცია",Company Black Sea Group LLC,SRIP/CW/ICB-01,"7,848,821.40",,
6,E60 მაგისტრალი,E60 მაგისტრალის ჩუმათელეთი-ხევის მონაკვეთის მშენებლობა (F1),Construction of Chumateleti-Khevi Section (F1) of E-60 Highway,11.6,2019,2023,EIB,ongoing,მიმდინარე,E60 ავტომაგისტრალის (F1) ჩუმათელეთი-ხევის მონაკვეთის კმ0.0 - კმ11.6 სამშენებლო სამუშაოები,China State Construction Engineering Corporation Limited,EWHCIP-AF/CW/ICB-01 ,"247,412,077.77",,
7,E60 მაგისტრალი,E60 მაგისტრალის ჩუმათელეთი-ხევის მონაკვეთის მშენებლობა(F1),Construction of Chumateleti-Khevi Section (F1) of E-60 Highway,11.6,2019,2023,WB,ongoing,მიმდინარე,E60 ავტომაგისტრალის (F1) ჩუმათელეთი-ხევის მონაკვეთის კმ0.0 - კმ11.6 სამშენებლო სამუშაოები,China State Construction Engineering Corporation Limited,EWHCIP-AF/CW/ICB-01 ,"27,380,269.94",,
8,E60 მაგისტრალი,E60 მაგისტრალის ჩუმათელეთი-ხევის მონაკვეთის მშენებლობა(F1),Construction of Chumateleti-Khevi Section (F1) of E-60 Highway,11.6,2019,2023,GOG,ongoing,მიმდინარე,E60 ავტომაგისტრალის (F1) ჩუმათელეთი-ხევის მონაკვეთის კმ0.0 - კმ11.6 სამშენებლო სამუშაოები,China State Construction Engineering Corporation Limited,EWHCIP-AF/CW/ICB-01 ,"55,090,422.65",,
9,E60 მაგისტრალი,E60 მაგისტრალის ხევი-უბისას მონაკვეთის მშენებლობა(F2),Construction of Khevi-Ubisa Road Section (F2) of E-60 Highway,12.2,2019,2023,ADB,ongoing,მიმდინარე,E60 ავტომაგისტრალის (F2) ხევი-უბისას მონაკვეთის სამშენებლო სამუშაოები,"Hunan Road & Bridge Construction Group Co., LTD",KURP/CW/OCB-01,"555,520,108.23",,
10,E60 მაგისტრალი,E60 მაგისტრალის ხევი-უბისას მონაკვეთის მშენებლობა(F2),Construction of Khevi-Ubisa Road Section (F2) of E-60 Highway,12.2,2019,2023,GOG,ongoing,მიმდინარე,E60 ავტომაგისტრალის (F2) ხევი-უბისას მონაკვეთის სამშენებლო სამუშაოები,"Hunan Road & Bridge Construction Group Co., LTD",KURP/CW/OCB-01,"176,629,910.50",,
